expand,self,id,key,name,projectTypeKey,archived,avatarUrls.48x48,avatarUrls.24x24,avatarUrls.16x16,avatarUrls.32x32,projectCategory.self,projectCategory.id,projectCategory.name,projectCategory.description
"description,lead,url,projectKeys",https://jira.footlocker.com/rest/api/2/project/30400,30400,TEST,**Test Project**,software,False,https://jira.footlocker.com/secure/projectavatar?avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=small&avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=xsmall&avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=medium&avatarId=13203,,,,
"description,lead,url,projectKeys",https://jira.footlocker.com/rest/api/2/project/18404,18404,CCEP,2021 Purchase Path,software,False,https://jira.footlocker.com/secure/projectavatar?pid=18404&avatarId=29108,https://jira.footlocker.com/secure/projectavatar?size=small&pid=18404&avatarId=29108,https://jira.footlocker.com/secure/projectavatar?size=xsmall&pid=18404&avatarId=29108,https://jira.footlocker.com/secure/projectavatar?size=medium&pid=18404&avatarId=29108,https://jira.footlocker.com/rest/api/2/projectCategory/10701,10701,Digital Technology,
"description,lead,url,projectKeys",https://jira.footlocker.com/rest/api/2/project/30100,30100,CHAT,404chatbot,software,False,https://jira.footlocker.com/secure/projectavatar?avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=small&avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=xsmall&avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=medium&avatarId=13203,,,,
"description,lead,url,projectKeys",https://jira.footlocker.com/rest/api/2/project/10103,10103,COMPRODUCT,48284 - Common Product,software,False,https://jira.footlocker.com/secure/projectavatar?pid=10103&avatarId=10209,https://jira.footlocker.com/secure/projectavatar?size=small&pid=10103&avatarId=10209,https://jira.footlocker.com/secure/projectavatar?size=xsmall&pid=10103&avatarId=10209,https://jira.footlocker.com/secure/projectavatar?size=medium&pid=10103&avatarId=10209,https://jira.footlocker.com/rest/api/2/projectCategory/10201,10201,Core Retail,
"description,lead,url,projectKeys",https://jira.footlocker.com/rest/api/2/project/29101,29101,AEMSC,Adobe AEM Sites Cloud Migration,software,False,https://jira.footlocker.com/secure/projectavatar?avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=small&avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=xsmall&avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=medium&avatarId=13203,,,,
"description,lead,url,projectKeys",https://jira.footlocker.com/rest/api/2/project/29900,29900,AWFM,APAC - WFM Platform Implementation ,software,False,https://jira.footlocker.com/secure/projectavatar?avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=small&avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=xsmall&avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=medium&avatarId=13203,,,,
"description,lead,url,projectKeys",https://jira.footlocker.com/rest/api/2/project/27701,27701,ADBT,APAC Digital Business Team,software,False,https://jira.footlocker.com/secure/projectavatar?avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=small&avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=xsmall&avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=medium&avatarId=13203,,,,
"description,lead,url,projectKeys",https://jira.footlocker.com/rest/api/2/project/18400,18400,AII2,APIGEE Initiative II,software,False,https://jira.footlocker.com/secure/projectavatar?avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=small&avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=xsmall&avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=medium&avatarId=13203,https://jira.footlocker.com/rest/api/2/projectCategory/10703,10703,Omni Engineering,
"description,lead,url,projectKeys",https://jira.footlocker.com/rest/api/2/project/18500,18500,AT,Architecture Team,software,False,https://jira.footlocker.com/secure/projectavatar?avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=small&avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=xsmall&avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=medium&avatarId=13203,https://jira.footlocker.com/rest/api/2/projectCategory/10702,10702,Technology Services,
"description,lead,url,projectKeys",https://jira.footlocker.com/rest/api/2/project/15900,15900,AU,Atlassian Upgrades,software,False,https://jira.footlocker.com/secure/projectavatar?avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=small&avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=xsmall&avatarId=13203,https://jira.footlocker.com/secure/projectavatar?size=medium&avatarId=13203,https://jira.footlocker.com/rest/api/2/projectCategory/10700,10700,PMO,
