key,IssueLinkKey,status,priority,issuetype,inward,outward,projectName,TypeName,direction
SOLMERCH-4878,SOLMERCH-4876,To Do,Highest,Epic,Depends On,Depends On,SOLE Merch,Depends On,outward
SOLMERCH-4876,SOLMERCH-4878,To Do,High,Epic,Depends On,Depends On,SOLE Merch,Depends On,inward
SOLMERCH-4567,SOLMERCH-94,In Progress,Medium,Portfolio Initiative,Is Child of,Is Parent of,SOLE Merch,Parent / Child ,inward
SOLMERCH-3021,SOLMERCH-94,In Progress,Medium,Portfolio Initiative,Is Child of,Is Parent of,SOLE Merch,Parent / Child ,inward
SOLMERCH-3021,DOM-1632,Ready for QA,High,Bug,relates to,relates to,SOLE Merch,Relates,inward
SOLMERCH-2976,SPIM-6692,Done,Medium,Story,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-2976,SPIM-6693,In Progress,Medium,Story,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-2976,SPIM-6694,To Do,Medium,Story,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-1120,DOM-599,Done,Medium,Story,is blocked by,blocks,SOLE Merch,Blocks,outward
SOLMERCH-1084,DOM-494,Done,Medium,Story,is blocked by,blocks,SOLE Merch,Blocks,outward
SOLMERCH-1078,DOM-789,Done,Medium,Story,is blocked by,blocks,SOLE Merch,Blocks,outward
SOLMERCH-256,MERCH-1124,In Progress,Medium,Merch Pricing,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-256,MERCH-1125,In Progress,Medium,Merch Pricing,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-256,MERCH-1126,In Progress,Medium,Merch Pricing,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-254,DOM-226,Done,Medium,Story,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-250,SPIM-6696,Done,Medium,Story,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-250,SPIM-6697,Done,Medium,Story,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-250,SPIM-6698,To Do,Medium,Story,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-248,SNB-3158,Done,Highest,Story,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-247,MERCH-1110,In Progress,Medium,Merch Pricing,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-247,MERCH-1117,In Progress,Medium,Merch Pricing,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-247,MERCH-1119,In Progress,Medium,Merch Pricing,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-243,SNB-3159,Done,Highest,Story,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-242,DOM-226,Done,Medium,Story,is blocked by,blocks,SOLE Merch,Blocks,outward
SOLMERCH-240,SPIM-6696,Done,Medium,Story,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-240,SPIM-6697,Done,Medium,Story,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-240,SPIM-6698,To Do,Medium,Story,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-238,SNB-3160,Done,Highest,Story,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-235,MERCH-1110,In Progress,Medium,Merch Pricing,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-235,MERCH-1117,In Progress,Medium,Merch Pricing,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-235,MERCH-1119,In Progress,Medium,Merch Pricing,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-234,SPIM-7927,Done,Medium,Story,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-233,SPIM-6526,In Progress,Medium,Story,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-233,SPIM-6525,To Do,Medium,Story,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-233,SPIM-6527,To Do,Medium,Story,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-232,SPIM-7928,Done,Medium,Story,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-231,SPIM-6643,Done,Medium,Story,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-231,SPIM-6645,Done,Medium,Story,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-231,SPIM-6644,In Progress,Medium,Story,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-230,DOM-226,Done,Medium,Story,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-227,SPIM-6635,To Do,Medium,Story,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-227,SPIM-6636,To Do,Medium,Story,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-227,SPIM-6638,To Do,Medium,Story,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-226,QAS-1628,In QA,Medium,Enhancement,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-226,QAS-1636,In QA,Medium,Enhancement,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-226,QAS-1637,In QA,Medium,Enhancement,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-223,DOM-738,Done,Medium,Story,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-223,DOM-747,Done,Medium,Story,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-220,SPIM-6689,Done,Medium,Story,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-220,SPIM-6690,Done,Medium,Story,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-220,SPIM-6691,To Do,Medium,Story,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-216,SCM-6619,Ready for QA,Medium,Story,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-215,DOM-275,Done,Medium,Story,is blocked by,blocks,SOLE Merch,Blocks,outward
SOLMERCH-215,DOM-280,Done,Medium,Story,is blocked by,blocks,SOLE Merch,Blocks,outward
SOLMERCH-215,DOM-290,Done,Medium,Story,is blocked by,blocks,SOLE Merch,Blocks,outward
SOLMERCH-214,MERCH-1102,In Progress,Medium,Merch Pricing,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-214,MERCH-1118,In Progress,Medium,Merch Pricing,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-214,MERCH-1120,In Progress,Medium,Merch Pricing,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-213,SNB-3155,In Progress,Medium,Story,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-213,SNB-3156,To Do,Medium,Story,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-213,SNB-3157,To Do,Medium,Story,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-213,SNB-3153,To Do,Medium,Epic,relates to,relates to,SOLE Merch,Relates,inward
SOLMERCH-211,SCM-6619,Ready for QA,Medium,Story,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-210,DOM-275,Done,Medium,Story,is blocked by,blocks,SOLE Merch,Blocks,outward
SOLMERCH-210,DOM-280,Done,Medium,Story,is blocked by,blocks,SOLE Merch,Blocks,outward
SOLMERCH-210,DOM-290,Done,Medium,Story,is blocked by,blocks,SOLE Merch,Blocks,outward
SOLMERCH-209,MERCH-1102,In Progress,Medium,Merch Pricing,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-209,MERCH-1118,In Progress,Medium,Merch Pricing,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-209,MERCH-1120,In Progress,Medium,Merch Pricing,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-206,SPIM-6700,Done,Medium,Story,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-191,SPIM-6699,To Do,Medium,Story,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-186,SOLMERCH-3061,Backlog,Low,Bug,is blocked by,blocks,SOLE Merch,Blocks,inward
SOLMERCH-181,SOLMERCH-3062,Done,Medium,Bug,is blocked by,blocks,SOLE Merch,Blocks,inward
SOLMERCH-181,SOLMERCH-3069,Done,Medium,Bug,is blocked by,blocks,SOLE Merch,Blocks,inward
SOLMERCH-181,SOLMERCH-3070,Done,Medium,Bug,is blocked by,blocks,SOLE Merch,Blocks,inward
SOLMERCH-181,SOLMERCH-3071,Done,Medium,Bug,is blocked by,blocks,SOLE Merch,Blocks,inward
SOLMERCH-181,SOLMERCH-3072,Done,Medium,Bug,is blocked by,blocks,SOLE Merch,Blocks,inward
SOLMERCH-181,SOLMERCH-3076,Done,Medium,Bug,is blocked by,blocks,SOLE Merch,Blocks,inward
SOLMERCH-181,SOLMERCH-3077,Done,Medium,Bug,is blocked by,blocks,SOLE Merch,Blocks,inward
SOLMERCH-180,SOLMERCH-3060,To Do,Medium,Bug,is blocked by,blocks,SOLE Merch,Blocks,inward
SOLMERCH-4578,SOLMERCH-3908,On Hold,Medium,Test,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-3530,SOLMERCH-2881,In Progress,Medium,Story,Is Child of,Is Parent of,SOLE Merch,Parent / Child ,inward
SOLMERCH-4886,SOLMERCH-3596,To Do,Medium,Test,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-4885,SOLMERCH-3573,Done,Medium,Test,is blocked by,blocks,SOLE Merch,Blocks,outward
SOLMERCH-4879,SOLMERCH-3782,On Hold,Medium,Test,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-4875,SOLMERCH-4625,On Hold,Medium,Test,is blocked by,blocks,SOLE Merch,Blocks,outward
SOLMERCH-4874,SOLMERCH-3593,To Do,Medium,Test,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-4873,SOLMERCH-3458,On Hold,Medium,Test,is blocked by,blocks,SOLE Merch,Blocks,outward
SOLMERCH-4870,SOLMERCH-3685,On Hold,Medium,Test,is blocked by,blocks,SOLE Merch,Blocks,outward
SOLMERCH-4870,SOLMERCH-3426,On Hold,Medium,Story,is blocked by,blocks,SOLE Merch,Blocks,inward
SOLMERCH-4870,SOLMERCH-3685,On Hold,Medium,Test,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-4868,SOLMERCH-3656,On Hold,Medium,Test,is blocked by,blocks,SOLE Merch,Blocks,outward
SOLMERCH-4868,SOLMERCH-3656,On Hold,Medium,Test,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-4866,SOLMERCH-3593,To Do,Medium,Test,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-4862,SOLMERCH-3572,Done,Medium,Test,is blocked by,blocks,SOLE Merch,Blocks,outward
SOLMERCH-4861,SOLMERCH-3536,On Hold,Medium,Test,is blocked by,blocks,SOLE Merch,Blocks,outward
SOLMERCH-4861,SPIM-10789,Blocked,Medium,Bug,is duplicated by,duplicates,SOLE Merch,Duplicate,outward
SOLMERCH-4860,SOLMERCH-4624,Done,Medium,Test,is blocked by,blocks,SOLE Merch,Blocks,outward
SOLMERCH-4859,SOLMERCH-4832,Done,High,Bug,is cloned by,clones,SOLE Merch,Cloners,outward
SOLMERCH-4858,SOLMERCH-3770,Done,Medium,Test,is blocked by,blocks,SOLE Merch,Blocks,outward
SOLMERCH-4858,SOLMERCH-3770,Done,Medium,Test,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-4856,SOLMERCH-3556,Done,Medium,Test,is blocked by,blocks,SOLE Merch,Blocks,outward
SOLMERCH-4845,SOLMERCH-3457,Done,Medium,Test,is blocked by,blocks,SOLE Merch,Blocks,outward
SOLMERCH-4845,SOLMERCH-4831,Done,Highest,Bug,is cloned by,clones,SOLE Merch,Cloners,outward
SOLMERCH-4832,SOLMERCH-3662,On Hold,Medium,Test,is blocked by,blocks,SOLE Merch,Blocks,outward
SOLMERCH-4832,SOLMERCH-4859,Done,High,Bug,is cloned by,clones,SOLE Merch,Cloners,inward
SOLMERCH-4832,DOM-1598,Done,High,Bug,is duplicated by,duplicates,SOLE Merch,Duplicate,inward
SOLMERCH-4832,SOLMERCH-3662,On Hold,Medium,Test,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-4831,SOLMERCH-3457,Done,Medium,Test,is blocked by,blocks,SOLE Merch,Blocks,outward
SOLMERCH-4831,SOLMERCH-4825,Done,Highest,Bug,is cloned by,clones,SOLE Merch,Cloners,outward
SOLMERCH-4831,SOLMERCH-4845,Done,Highest,Bug,is cloned by,clones,SOLE Merch,Cloners,inward
SOLMERCH-4827,SOLMERCH-4624,Done,Medium,Test,is blocked by,blocks,SOLE Merch,Blocks,outward
SOLMERCH-4826,SOLMERCH-3568,Done,Medium,Test,is blocked by,blocks,SOLE Merch,Blocks,outward
SOLMERCH-4825,SOLMERCH-3457,Done,Medium,Test,is blocked by,blocks,SOLE Merch,Blocks,outward
SOLMERCH-4825,SOLMERCH-4831,Done,Highest,Bug,is cloned by,clones,SOLE Merch,Cloners,inward
SOLMERCH-4824,SOLMERCH-3635,Done,Medium,Test,is blocked by,blocks,SOLE Merch,Blocks,outward
SOLMERCH-4824,SOLMERCH-3693,On Hold,Medium,Test,is blocked by,blocks,SOLE Merch,Blocks,inward
SOLMERCH-4824,SOLMERCH-3635,Done,Medium,Test,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-4822,SOLMERCH-3568,Done,Medium,Test,is blocked by,blocks,SOLE Merch,Blocks,outward
SOLMERCH-4793,SOLMERCH-3564,Done,Medium,Test,is blocked by,blocks,SOLE Merch,Blocks,outward
SOLMERCH-4793,SOLMERCH-4646,Done,High,Bug,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-4793,SOLMERCH-3564,Done,Medium,Test,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-4792,SOLMERCH-3631,Done,Medium,Test,is blocked by,blocks,SOLE Merch,Blocks,outward
SOLMERCH-4792,SOLMERCH-3635,Done,Medium,Test,is blocked by,blocks,SOLE Merch,Blocks,outward
SOLMERCH-4792,SOLMERCH-3635,Done,Medium,Test,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-4741,SOLMERCH-4624,Done,Medium,Test,is blocked by,blocks,SOLE Merch,Blocks,outward
SOLMERCH-4734,SOLMERCH-3663,On Hold,Medium,Test,is blocked by,blocks,SOLE Merch,Blocks,outward
SOLMERCH-4734,SOLMERCH-4523,Done,Highest,Bug,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-4734,SOLMERCH-3663,On Hold,Medium,Test,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-4730,SOLMERCH-3786,Done,Medium,Test,is blocked by,blocks,SOLE Merch,Blocks,inward
SOLMERCH-4729,SOLMERCH-3775,On Hold,Medium,Test,is blocked by,blocks,SOLE Merch,Blocks,inward
SOLMERCH-4723,SPIM-10352,Blocked,Medium,Bug,is duplicated by,duplicates,SOLE Merch,Duplicate,outward
SOLMERCH-4723,SPIM-10319,Done,Medium,Bug,is duplicated by,duplicates,SOLE Merch,Duplicate,inward
SOLMERCH-4722,SPIM-10120,Done,High,Bug,is blocked by,blocks,SOLE Merch,Blocks,outward
SOLMERCH-4722,SPIM-10318,Done,High,Bug,is blocked by,blocks,SOLE Merch,Blocks,outward
SOLMERCH-4722,SPIM-10318,Done,High,Bug,is duplicated by,duplicates,SOLE Merch,Duplicate,outward
SOLMERCH-4722,SOLMERCH-3760,Done,Medium,Test,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-4721,SOLMERCH-3539,Done,Medium,Test,is blocked by,blocks,SOLE Merch,Blocks,outward
SOLMERCH-4721,SPIM-9904,To Do,Medium,Test,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-4719,SOLMERCH-4521,Done,Highest,Bug,is caused by,causes,SOLE Merch,Causes,inward
SOLMERCH-4719,SOLMERCH-4523,Done,Highest,Bug,is caused by,causes,SOLE Merch,Causes,inward
SOLMERCH-4718,SOLMERCH-4521,Done,Highest,Bug,is caused by,causes,SOLE Merch,Causes,inward
SOLMERCH-4718,SOLMERCH-4523,Done,Highest,Bug,is caused by,causes,SOLE Merch,Causes,inward
SOLMERCH-4717,SOLMERCH-4647,Done,Highest,Bug,is cloned by,clones,SOLE Merch,Cloners,outward
SOLMERCH-4716,SOLMERCH-3760,Done,Medium,Test,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-4715,SOLMERCH-3823,Approved,Medium,Test,is duplicated by,duplicates,SOLE Merch,Duplicate,outward
SOLMERCH-4715,SOLMERCH-3957,Approved,Medium,Test,relates to,relates to,SOLE Merch,Relates,inward
SOLMERCH-4714,SOLMERCH-3769,Done,Medium,Test,relates to,relates to,SOLE Merch,Relates,outward
SOLMERCH-4713,MERCH-1151,Done,Medium,Bug,is duplicated by,duplicates,SOLE Merch,Duplicate,outward
